Study Name,Authors,Year,DOI/URL,Dataset,Study Description,Paradigm Type,Stimulus Type,Stimulus Description,Composer,Passage Name,Passage Length,Musical Features Analyzed,Task Description,Number of Participants,Demographics,Musical Training,EEG System Used,Channel Count,Findings,Sampling Rate,Recording Environment,Data Format,Preprocessing,License,EEG Analysis Techniques,Statistical Tests,Event Markers,Publication
EEG in Music Psychological Studies,"Helmuth Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1993,https://doi.org/10.1007/978-3-642-79327-1_21,NA,EEG coherence and power were measured while listening to short synthesized tones.,Controlled,Synthesized Music/Tone,Pure sine tone,NA,NA,~30 seconds,"Melodic structure, harmonic context",Passive listening during interictal period; EEG recorded via depth and surface electrodes,2,"Adult males, 31 & 35 years, European",No Formal Training,Depth electrodes + surface EEG (Hess system),"19 channels, 10–20 system",Sine tones showed less coherence increase than musical timbres; weaker hemispheric lateralization.,256 Hz,Hospital neurology lab,Digital EEG (.edf format equivalent),Artifact rejection; visual inspection; FFT windowing (256 samples),"Copyright by Springer, 1989","Coherence analysis, Spectral participation vectors, Band power (delta, theta, alpha, beta)","Coherence computation, frequency quotients",Stimulus onset; synthesized tone presentation,Music Perception 6(1): 79–99
EEG in Music Psychological Studies,"Helmuth Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1993,https://doi.org/10.1007/978-3-642-79327-1_21,NA,EEG coherence and power were measured while listening to short synthesized tones.,Controlled,Synthesized Music/Tone,Synthesized cello timbre,NA,NA,~30 seconds,"Melodic structure, harmonic context",Passive listening during interictal period; EEG recorded via depth and surface electrodes,2,"Adult males, 31 & 35 years, European",No Formal Training,Depth electrodes + surface EEG (Hess system),"19 channels, 10–20 system","Coherence patterns differed from piano and sine, with midline beta-band engagement.",256 Hz,Hospital neurology lab,Digital EEG (.edf format equivalent),Artifact rejection; visual inspection; FFT windowing (256 samples),"Copyright by Springer, 1990","Coherence analysis, Spectral participation vectors, Band power (delta, theta, alpha, beta)","Coherence computation, frequency quotients",Stimulus onset; synthesized tone presentation,Music Perception 6(1): 79–100
EEG in Music Psychological Studies,"Helmuth Petsche, K. Lindner, P. Rappelsberger, G. Gruber",1993,https://doi.org/10.1007/978-3-642-79327-1_21,NA,EEG coherence and power were measured while listening to short synthesized tones.,Controlled,Synthesized Music/Tone,Organ-like synthesized tone,NA,NA,~30 seconds,"Melodic structure, harmonic context",Passive listening during interictal period; EEG recorded via depth and surface electrodes,2,"Adult males, 31 & 35 years, European",No Formal Training,Depth electrodes + surface EEG (Hess system),"19 channels, 10–20 system",Elicited broader coherence increases than sine or cello tones; varied across frequency bands.,256 Hz,Hospital neurology lab,Digital EEG (.edf format equivalent),Artifact rejection; visual inspection; FFT windowing (256 samples),"Copyright by Springer, 1991","Coherence analysis, Spectral participation vectors, Band power (delta, theta, alpha, beta)","Coherence computation, frequency quotients",Stimulus onset; synthesized tone presentation,Music Perception 6(1): 79–101
EEG Coherence and Musical Thinking,"Helmuth Petsche, Gerhard Doppelmayr, Peter Rappelsberger, Irenäus Simmerl, Barbara Maresch",1993,https://doi.org/10.2307/40285613,NA,EEG coherence was analyzed in multiple frequency bands while participants passively listened to different solo piano and jazz pieces. This study examines hemispheric and interhemispheric connectivity patterns across different musical styles.,Controlled,Complete Musical Piece,"Piano solo, Mozart – String Quartet KV 458, 1st movement",W.A. Mozart,"Mozart: String Quartet KV 458, 1st movement",4 minutes,"Coherence, Hemispheric activation",Passive listening with eyes closed; EEG recorded from 19 electrodes; music presented via headphones,25,"Mixed gender, healthy participants (ages 13–68)",Not Reported,Not Reported,"19 channels, 10–20 system","Broad bilateral coherence increases, especially in beta 3; high interhemispheric synchrony.",128 Hz,Sound-treated room,Digital EEG traces,Visual artifact rejection; coherence computed using FFT; statistical threshold p ≤ 0.05,Copyright by University of California Press (1993),Coherence analysis (delta to beta3),Frequency-specific comparisons of coherence change (p ≤ 0.05),Not Reported,Music Perception 11(2):117–134
EEG Coherence and Musical Thinking,"Helmuth Petsche, Gerhard Doppelmayr, Peter Rappelsberger, Irenäus Simmerl, Barbara Maresch",1993,https://doi.org/10.2307/40285613,NA,EEG coherence was analyzed in multiple frequency bands while participants passively listened to different solo piano and jazz pieces. This study examines hemispheric and interhemispheric connectivity patterns across different musical styles.,Controlled,Complete Musical Piece,"Piano solo, J.S. Bach – Prelude and Fugue in A Minor",J.S. Bach,Prelude and Fugue in A Minor (Well-Tempered Clavichord I),5 minutes,"Coherence, Hemispheric activation",Passive listening with eyes closed; EEG recorded from 19 electrodes; music presented via headphones,15 Total,"Mixed gender, healthy participants (ages 13–68)",Not Reported,Not Reported,"19 channels, 10–20 system",Strong left-lateralized coherence in beta bands; more asymmetric than Mozart.,128 Hz,Sound-treated room,Digital EEG traces,Visual artifact rejection; coherence computed using FFT; statistical threshold p ≤ 0.06,Copyright by University of California Press (1993),Coherence analysis (delta to beta3),Frequency-specific comparisons of coherence change (p ≤ 0.05),Not Reported,Music Perception 11(2):117–135
EEG Coherence and Musical Thinking,"Helmuth Petsche, Gerhard Doppelmayr, Peter Rappelsberger, Irenäus Simmerl, Barbara Maresch",1993,https://doi.org/10.2307/40285613,NA,EEG coherence was analyzed in multiple frequency bands while participants passively listened to different solo piano and jazz pieces. This study examines hemispheric and interhemispheric connectivity patterns across different musical styles.,Controlled,Complete Musical Piece,"Piano solo, Beethoven – Sonata in A-flat Major, First Movement",Ludwig van Beethoven,"Sonata in A-flat Major, First Movement",5 minutes,"Coherence, Hemispheric activation",Passive listening with eyes closed; EEG recorded from 19 electrodes; music presented via headphones,15 Total,"Mixed gender, healthy participants (ages 13–68)",Not Reported,Not Reported,"19 channels, 10–20 system",Modest coherence changes; less overall engagement than other excerpts.,128 Hz,Sound-treated room,Digital EEG traces,Visual artifact rejection; coherence computed using FFT; statistical threshold p ≤ 0.07,Copyright by University of California Press (1993),Coherence analysis (delta to beta3),Frequency-specific comparisons of coherence change (p ≤ 0.05),Not Reported,Music Perception 11(2):117–136
EEG Coherence and Musical Thinking,"Helmuth Petsche, Gerhard Doppelmayr, Peter Rappelsberger, Irenäus Simmerl, Barbara Maresch",1993,https://doi.org/10.2307/40285613,NA,EEG coherence was analyzed in multiple frequency bands while participants passively listened to different solo piano and jazz pieces. This study examines hemispheric and interhemispheric connectivity patterns across different musical styles.,Controlled,Complete Musical Piece,"Piano solo, Schoenberg – Piano Pieces Op. 33a & b",Arnold Schoenberg,Piano Pieces Op. 33a & b,5 minutes,"Coherence, Hemispheric activation",Passive listening with eyes closed; EEG recorded from 19 electrodes; music presented via headphones,15 Total,"Mixed gender, healthy participants (ages 13–68)",Not Reported,Not Reported,"19 channels, 10–20 system","High left-hemispheric coherence, especially in beta; weaker interhemispheric coupling.",128 Hz,Sound-treated room,Digital EEG traces,Visual artifact rejection; coherence computed using FFT; statistical threshold p ≤ 0.08,Copyright by University of California Press (1993),Coherence analysis (delta to beta3),Frequency-specific comparisons of coherence change (p ≤ 0.05),Not Reported,Music Perception 11(2):117–137
EEG Coherence and Musical Thinking,"Helmuth Petsche, Gerhard Doppelmayr, Peter Rappelsberger, Irenäus Simmerl, Barbara Maresch",1993,https://doi.org/10.2307/40285613,NA,EEG coherence was analyzed in multiple frequency bands while participants passively listened to different solo piano and jazz pieces. This study examines hemispheric and interhemispheric connectivity patterns across different musical styles.,Controlled,Complete Musical Piece,"Jazz piano solo, Amalgame by A. Romano (performed by M. Petrucciani)",A. Romano,Amalgame,5 minutes,"Coherence, Hemispheric activation",Passive listening with eyes closed; EEG recorded from 19 electrodes; music presented via headphones,15 Total,"Mixed gender, healthy participants (ages 13–68)",Not Reported,Not Reported,"19 channels, 10–20 system",Coherence patterns similar to Schoenberg; strong left-lateralized beta activity.,128 Hz,Sound-treated room,Digital EEG traces,Visual artifact rejection; coherence computed using FFT; statistical threshold p ≤ 0.09,Copyright by University of California Press (1993),Coherence analysis (delta to beta3),Frequency-specific comparisons of coherence change (p ≤ 0.05),Not Reported,Music Perception 11(2):117–138
Spectral Analysis of the EEG as a Tool for Evaluating Expectancy Violations of Musical Contexts,"Petr Janata, Helmuth Petsche",1993,https://doi.org/10.2307/40285571,NA,"Musically trained participants listened to cadences resolving to either tonic, minor, or dissonant chords. EEG spectral amplitude and coherence were analyzed for expectancy",Controlled,Synthesized Music/Tone,Cadence + Resolution to Tonic (Best-Fitting),NA,NA,6 seconds,"Harmonic resolution, expectancy fulfillment",Passive listening with judgment of musical resolution quality; EEG recorded from 19 sites; key press or silent response,23,"Music students from Vienna Hochschule für Musik (mean age 24.1 ± 2.7, 13 women, 10 men). All participants had instrumental training (avg. 14.4 ± 4.5 years) and most had theory training (avg. 4.2 ± 3.3 years)",Extensive Training (>10 years),"Nihon Kohden EEG system, digitized with Walter Graphtek “Papierloses EEG”","19 channels, 10–20 system",Right frontal beta coherence increased; minimal deviation from priming cadence in spectral activity; served as baseline for fulfillment.,128 Hz,Sound-treated recording chamber,Digital EEG traces,Artifact rejection via eye-blink monitoring; visual inspection; 2-sec FFT windowing,Copyright by University of California Press (1993),"Spectral amplitude, local coherence, interhemispheric coherence (delta–beta3)",Repeated-measures ANOVA (within-subject: stimulus x response),Serial port trigger aligned to resolution onset,Music Perception 10(3):281–304
Spectral Analysis of the EEG as a Tool for Evaluating Expectancy Violations of Musical Contexts,"Petr Janata, Helmuth Petsche",1993,https://doi.org/10.2307/40285571,NA,"Musically trained participants listened to cadences resolving to either tonic, minor, or dissonant chords. EEG spectral amplitude and coherence were analyzed for expectancy",Controlled,Synthesized Music/Tone,Cadence + Resolution to Minor (Ambiguous),NA,NA,7 seconds,"Harmonic resolution, expectancy fulfillment",Passive listening with judgment of musical resolution quality; EEG recorded from 19 sites; key press or silent response,23,"Music students from Vienna Hochschule für Musik (mean age 24.1 ± 2.7, 13 women, 10 men). All participants had instrumental training (avg. 14.4 ± 4.5 years) and most had theory training (avg. 4.2 ± 3.3 years)",Extensive Training (>10 years),"Nihon Kohden EEG system, digitized with Walter Graphtek “Papierloses EEG”","19 channels, 10–20 system",Slower reaction times and lower accuracy; EEG showed distinct patterns with increased local coherence at central/parietal sites and decreased frontal coherence—interpreted as ambiguity-related processing.,128 Hz,Sound-treated recording chamber,Digital EEG traces,Artifact rejection via eye-blink monitoring; visual inspection; 2-sec FFT windowing,Copyright by University of California Press (1993),"Spectral amplitude, local coherence, interhemispheric coherence (delta–beta3)",Repeated-measures ANOVA (within-subject: stimulus x response),Serial port trigger aligned to resolution onset,Music Perception 10(3):281–304
Spectral Analysis of the EEG as a Tool for Evaluating Expectancy Violations of Musical Contexts,"Petr Janata, Helmuth Petsche",1993,https://doi.org/10.2307/40285571,NA,"Musically trained participants listened to cadences resolving to either tonic, minor, or dissonant chords. EEG spectral amplitude and coherence were analyzed for expectancy",Controlled,Synthesized Music/Tone,Cadence + Resolution to Dissonant (Contextually Distant),NA,NA,8 seconds,"Harmonic resolution, expectancy fulfillment",Passive listening with judgment of musical resolution quality; EEG recorded from 19 sites; key press or silent response,23,"Music students from Vienna Hochschule für Musik (mean age 24.1 ± 2.7, 13 women, 10 men). All participants had instrumental training (avg. 14.4 ± 4.5 years) and most had theory training (avg. 4.2 ± 3.3 years)",Extensive Training (>10 years),"Nihon Kohden EEG system, digitized with Walter Graphtek “Papierloses EEG”","19 channels, 10–20 system","EEG parameters (especially delta and beta coherence) showed stronger deviation from cadence baseline; right temporal amplitude and coherence increased, indicating strong expectancy violation detection.",128 Hz,Sound-treated recording chamber,Digital EEG traces,Artifact rejection via eye-blink monitoring; visual inspection; 2-sec FFT windowing,Copyright by University of California Press (1993),"Spectral amplitude, local coherence, interhemispheric coherence (delta–beta3)",Repeated-measures ANOVA (within-subject: stimulus x response),Serial port trigger aligned to resolution onset,Music Perception 10(3):281–304
EEG Power Spectrum Changes due to Listening to Pleasant Musics and Their Relation to Relaxation Effects,"Michinori Kabuto, Takayuki Kageyama, Hiroshi Nitta",1993,https://doi.org/10.1265/jjh.48.807,NA,This study examined how listening to pleasant music influenced changes in EEG power spectra and psychosomatic relaxation in healthy young adults,Controlled,Musical Excerpt,Classical violin sonata,Ludwig van Beethoven,Beethoven: Violin Sonata No. 9 (Kreutzer),2 minutes,"Delta, Theta, Alpha, Beta power, Alpha peak frequency, Frontal/Occipital activity",Passive listening in sound-insulated room; pre- and post-questionnaires and FFT analysis,42,"Healthy university students (ages 18–25), mixed gender",Not Reported,Nihon-Koden EEG Video System + FFT Analyzer (AD-3524/25),"8 channels, 10-20 system (Fp1-F3, Fp2-F4, F3-P3, F4-P4, P3-O1, P4-O2)",Beethoven increased alpha activity and showed a left-occipital alpha peak shift associated with self-reported relaxation,Not Reported,Sound-insulated room,"EEG digitized to VHS, then converted to FFT","Hanning window, FFT, 50% overlap, baseline regression",© Japanese Journal of Hygiene 1993,"Power spectrum, Alpha peak frequency","Multiple regression, Principal component analysis, GLM, Pearson correlation, t-tests",Before vs. after music period,Japanese Journal of Hygiene 48:807–818
EEG Power Spectrum Changes due to Listening to Pleasant Musics and Their Relation to Relaxation Effects,"Michinori Kabuto, Takayuki Kageyama, Hiroshi Nitta",1993,https://doi.org/10.1265/jjh.48.807,NA,This study examined how listening to pleasant music influenced changes in EEG power spectra and psychosomatic relaxation in healthy young adults,Controlled,Musical Excerpt,Classical piano waltz,Frederic Chopin,Chopin: Waltz Op. 64 No. 1 (Minute Waltz),2 minutes,"Delta, Theta, Alpha, Beta power, Alpha peak frequency, Frontal/Occipital activity",Passive listening in sound-insulated room; pre- and post-questionnaires and FFT analysis,42,"Healthy university students (ages 18–25), mixed gender",Not Reported,Nihon-Koden EEG Video System + FFT Analyzer (AD-3524/25),"8 channels, 10-20 system (Fp1-F3, Fp2-F4, F3-P3, F4-P4, P3-O1, P4-O2)","Chopin increased overall alpha power; associated with subjective calmness and pleasantness, particularly in left-parietal regions",Not Reported,Sound-insulated room,"EEG digitized to VHS, then converted to FFT","Hanning window, FFT, 50% overlap, baseline regression",© Japanese Journal of Hygiene 1993,"Power spectrum, Alpha peak frequency","Multiple regression, Principal component analysis, GLM, Pearson correlation, t-tests",Before vs. after music period,Japanese Journal of Hygiene 48:807–818
EEG Power Spectrum Changes due to Listening to Pleasant Musics and Their Relation to Relaxation Effects,"Michinori Kabuto, Takayuki Kageyama, Hiroshi Nitta",1993,https://doi.org/10.1265/jjh.48.807,NA,This study examined how listening to pleasant music influenced changes in EEG power spectra and psychosomatic relaxation in healthy young adults,Controlled,Musical Excerpt,Commercially produced “α-wave” music,Sony Corp. composers,NA (α-wave commercial relaxation track),2 minutes,"Delta, Theta, Alpha, Beta power, Alpha peak frequency, Frontal/Occipital activity",Passive listening in sound-insulated room; pre- and post-questionnaires and FFT analysis,42,"Healthy university students (ages 18–25), mixed gender",Not Reported,Nihon-Koden EEG Video System + FFT Analyzer (AD-3524/25),"8 channels, 10-20 system (Fp1-F3, Fp2-F4, F3-P3, F4-P4, P3-O1, P4-O2)",Commercial α music produced the largest frontal alpha increase; strongest correlation with high relaxation and calmness scores,Not Reported,Sound-insulated room,"EEG digitized to VHS, then converted to FFT","Hanning window, FFT, 50% overlap, baseline regression",© Japanese Journal of Hygiene 1993,"Power spectrum, Alpha peak frequency","Multiple regression, Principal component analysis, GLM, Pearson correlation, t-tests",Before vs. after music period,Japanese Journal of Hygiene 48:807–818
